modified,license,rightsHolder,bibliographicCitation,references,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,lifeStage,preparations,otherCatalogNumbers,samplingProtocol,samplingEffort,eventDate,eventTime,year,month,day,verbatimEventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceRemarks,identifiedBy,dateIdentified,scientificName,genus,specificEpithet,scientificNameAuthorship
9/5/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476983,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476983,CAS,ENT,CAS,PreservedSpecimen,,d01dc9b2-827e-41e2-b159-953500e34c14,8355395,,,1,,adult,,,,,1872,,1872,,,1872,,United States,Illinois,Bureau,,,,,41.4,-89.5,WGS84,20000,C. Grinter,,GeoLocate,County level record,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
9/5/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476984,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476984,CAS,ENT,CAS,PreservedSpecimen,,620dd22f-b41a-436b-8618-fd71ea8a72ff,8355396,,,1,,adult,,,,,1872,,1872,,,1872,,United States,Illinois,Bureau,,,,,41.4,-89.5,WGS84,20000,C. Grinter,,GeoLocate,County level record,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476985,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476985,CAS,ENT,CAS,PreservedSpecimen,,42d1bc4c-1811-4e45-8362-a0be8ed67b60,8355397,"Label reads Western Nebr I've georeferenced the town of Western, Nebraska as opposed to the western portion of Nebraska",,1,,adult,,,,,6/24/2022,,1922,6,24,VI-24-1922,,United States,Nebraska,Saline,,Western Nebr,,,40.39,-97.2,WGS84,1900,C. Grinter,,GeoLocate,"Label reads Western Nebr I've georeferenced the town of Western, Nebraska as opposed to the western portion of Nebraska",,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476986,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476986,CAS,ENT,CAS,PreservedSpecimen,,3da96016-4184-45f3-9cc2-c66a5b62866d,8355398,Collection of J. W. Tilden,R.A. Leussler,1,,adult,,,,,6/10/2025,,1925,6,10,6/10/2025,,United States,Nebraska,,,,,,41.7,-99.3,WGS84,333000,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476987,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476987,CAS,ENT,CAS,PreservedSpecimen,,337b41b6-ae26-45b8-8c3d-dfa070371e5b,8355399,,R.A. Leussler,1,female,adult,Genitalia Dissection,,,,6/24/2021,,1921,6,24,VI-24-21,,United States,Iowa,Dickinson,,Lake Okoboji,,,43.39,-95.15,WGS84,3000,C. Grinter,,GeoLocate,,C.D. MacNeill,1995,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476988,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476988,CAS,ENT,CAS,PreservedSpecimen,,04a682d4-6094-4940-abe4-d9771f46eb83,8355400,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476989,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476989,CAS,ENT,CAS,PreservedSpecimen,,9eebbe04-fa05-4a85-8d5b-f663f67cf25b,8355401,,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476990,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476990,CAS,ENT,CAS,PreservedSpecimen,,52c65a08-4fd2-47f0-93ab-c0ddc2391be7,8355492,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476991,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476991,CAS,ENT,CAS,PreservedSpecimen,,ab3965df-92d9-45db-a8e1-75e2d081522c,8355403,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476992,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476992,CAS,ENT,CAS,PreservedSpecimen,,675bdba2-e644-413f-a47e-db1930c24cfc,8355404,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476993,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476993,CAS,ENT,CAS,PreservedSpecimen,,0c7892f8-6b34-44aa-93e7-5a4db4c576cc,8355405,"J. P. Strohbeen Coll'n, rec'd CAS III-1965",J.P. Strohbeen,1,,adult,,,,,6/1/2024,,1924,6,1,"VI, 24",,United States,Iowa,Dickinson,,Lake Okoboji,,,43.39,-95.15,WGS84,3000,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476994,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476994,CAS,ENT,CAS,PreservedSpecimen,,07919f8c-4f67-492e-8d08-a18d33519f64,8355406,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476995,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476995,CAS,ENT,CAS,PreservedSpecimen,,5d90821c-ff57-42e7-8520-96cfd16b3bf7,8355407,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476996,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476996,CAS,ENT,CAS,PreservedSpecimen,,152cb3f9-09a0-4f87-b347-1a77d8d6401a,8355409,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476997,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476997,CAS,ENT,CAS,PreservedSpecimen,,0b68a344-080f-4809-8fb0-6c62e755bd13,8355408,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476998,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476998,CAS,ENT,CAS,PreservedSpecimen,,8ea9b5a5-f8ea-4f96-9cd8-b83ea8bf79c9,8355410,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/29/1980,,1980,6,29,VI-29-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476999,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3476999,CAS,ENT,CAS,PreservedSpecimen,,c4a39fe7-ac9c-4545-acc7-a07092a5e030,8355411,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477000,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477000,CAS,ENT,CAS,PreservedSpecimen,,1abb62bb-aa6f-409c-848b-641290073056,8355412,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477001,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477001,CAS,ENT,CAS,PreservedSpecimen,,5289265a-75ce-4a20-be44-95191c1b34cd,8355413,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
7/9/2018,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477002,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477002,CAS,ENT,CAS,PreservedSpecimen,,3b321c8c-1cee-44da-95d0-482a35d035b7,8355414,,J. Aoler,1,,adult,,,,,7/19/1950,,1950,7,19,VII-19-50,,United States,North Dakota,Grand Forks,Grand Forks,,,,47.17,-96,WGS84,1000,M. Belitz,,,,C.D. MacNeill,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477003,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477003,CAS,ENT,CAS,PreservedSpecimen,,19f95902-46a6-44ab-9da3-c47f7949eeed,8355415,"This specimen illustrated by William H. Howe of Kansas City, Missouri Sept 24, 1969",R.A. Leussler,1,,adult,,,,,6/24/2021,,1921,6,24,VI-24-21,,United States,Iowa,Dickinson,,Lake Okoboji,,,43.39,-95.15,WGS84,3000,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477004,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477004,CAS,ENT,CAS,PreservedSpecimen,,87f01592-5888-475a-b9dc-d0cd63935c79,8355416,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477005,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477005,CAS,ENT,CAS,PreservedSpecimen,,8e27c32e-22e8-4257-bb9c-284b3c0842c1,8355417,,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477006,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477006,CAS,ENT,CAS,PreservedSpecimen,,125b1faa-984a-4339-9654-736796b66de7,8355418,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477007,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477007,CAS,ENT,CAS,PreservedSpecimen,,e050c820-99e9-4e14-8ad5-d13e8dfa9a0c,8355419,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477008,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477008,CAS,ENT,CAS,PreservedSpecimen,,48335bf9-8baa-4e10-b382-6cb29ba9ee9c,8126569,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/28/1980,,1980,6,28,VI-28-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477009,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477009,CAS,ENT,CAS,PreservedSpecimen,,feb6c0fa-e692-4eb3-88c7-08aef337e41c,8355420,Iowa Loess Hills Lepidoptera Survey 1980,C.D. MacNeill|W.W. McGuire,1,,adult,,,,,6/29/1980,,1980,6,29,VI-29-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477010,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477010,CAS,ENT,CAS,PreservedSpecimen,,bbdeae62-5b3d-4bc8-9bad-4261966bab69,8355421,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/29/1980,,1980,6,29,VI-29-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477011,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477011,CAS,ENT,CAS,PreservedSpecimen,,bd568c30-c747-42d8-8edd-1319d732ee55,8355422,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/29/1980,,1980,6,29,VI-29-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
8/30/2017,http://creativecommons.org/licenses/by-nc-sa/4.0/,California Academy of Sciences,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477012,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3477012,CAS,ENT,CAS,PreservedSpecimen,,20049601-971a-4176-8bc2-97e67bda1b47,8355423,Iowa Loess Hills Lepidoptera Survey 1980,W.W. McGuire,1,,adult,,,,,6/29/1980,,1980,6,29,VI-29-80,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.396,-95.245,WGS84,300,C. Grinter,,GeoLocate,,C.D. MacNeill,1998,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
